acid,acno,acname,did,created_at,updated_at
1,1,ನಿಪ್ಪಾಣಿ Nippani,1,2018-12-10 00:00:00,2018-12-10 00:00:00
2,2,ಚಿಕ್ಕೋಡಿ-ಸದಲಗಾ Chikkodi-Sadalga,1,2018-12-10 00:00:00,2018-12-10 00:00:00
3,3,ಅಥಣಿ Athani,1,2018-12-10 00:00:00,2018-12-10 00:00:00
4,4,ಕಾಗವಾಡ Kagwad,1,2018-12-10 00:00:00,2018-12-10 00:00:00
5,5,ಕುಡಚಿ Kudachi,1,2018-12-10 00:00:00,2018-12-10 00:00:00
6,6,ರಾಯಭಾಗ Raybag,1,2018-12-10 00:00:00,2018-12-10 00:00:00
7,7,ಹುಕ್ಕೇರಿ Hukkeri,1,2018-12-10 00:00:00,2018-12-10 00:00:00
8,8,ಅರಭಾವಿ Arabhavi,1,2018-12-10 00:00:00,2018-12-10 00:00:00
9,9,ಗೋಕಾಕ Gokak,1,2018-12-10 00:00:00,2018-12-10 00:00:00
10,10,ಯಮಕನಮರಡಿ Yemkanamardi,1,2018-12-10 00:00:00,2018-12-10 00:00:00
11,11,ಬೆಳಗಾವಿ ಉತ್ತರ Belgaum Uttar,1,2018-12-10 00:00:00,2018-12-10 00:00:00
12,12,ಬೆಳಗಾವಿ ದಕ್ಷಿಣ Belgaum Dakshin,1,2018-12-10 00:00:00,2018-12-10 00:00:00
13,13,ಬೆಳಗಾವಿ ಗ್ರಾಮಾಂತರ Belgaum Rural,1,2018-12-10 00:00:00,2018-12-10 00:00:00
14,14,ಖಾನಾಪೂರ Khanapur,1,2018-12-10 00:00:00,2018-12-10 00:00:00
15,15,ಕಿತ್ತೂರು Kittur,1,2018-12-10 00:00:00,2018-12-10 00:00:00
16,16,ಬೈಲಹೊಂಗಲ Bailahongal,1,2018-12-10 00:00:00,2018-12-10 00:00:00
17,17,ಸವದತ್ತಿ ಯಲ್ಲಮ್ಮ Saundatti Yellamma,1,2018-12-10 00:00:00,2018-12-10 00:00:00
18,18,ರಾಮದುರ್ಗ Ramdurg,1,2018-12-10 00:00:00,2018-12-10 00:00:00
19,19,ಮುಧೋಳ Mudhol,2,2018-12-10 00:00:00,2018-12-10 00:00:00
20,20,ತೇರದಾಳ Terdal,2,2018-12-10 00:00:00,2018-12-10 00:00:00
21,21,ಜಮಖಂಡಿ Jamkhandi,2,2018-12-10 00:00:00,2018-12-10 00:00:00
22,22,ಬೀಳಗಿ Bilgi,2,2018-12-10 00:00:00,2018-12-10 00:00:00
23,23,ಬಾದಾಮಿ Badami,2,2018-12-10 00:00:00,2018-12-10 00:00:00
24,24,ಬಾಗಲಕೋಟೆ Bagalkot,2,2018-12-10 00:00:00,2018-12-10 00:00:00
25,25,ಹುನಗುಂದ Hungund,3,2018-12-10 00:00:00,2018-12-10 00:00:00
26,26,ಮುದ್ದೇಬಿಹಾಳ Muddebihal,3,2018-12-10 00:00:00,2018-12-10 00:00:00
27,27,ದೇವರ ಹಿಪ್ಪರಗಿ Devara Hippargi,3,2018-12-10 00:00:00,2018-12-10 00:00:00
28,28,ಬಸವನ ಬಾಗೇವಾಡಿ Basavana Bagevadi,3,2018-12-10 00:00:00,2018-12-10 00:00:00
29,29,ಬಬಲೇಶ್ವರ್‌ Babaleshwar,3,2018-12-10 00:00:00,2018-12-10 00:00:00
30,30,ವಿಜಾಪೂರ ನಗರ Bijapur City,3,2018-12-10 00:00:00,2018-12-10 00:00:00
31,31,ನಾಗಠಾಣ Nagthan,3,2018-12-10 00:00:00,2018-12-10 00:00:00
32,32,ಇಂಡಿ Indi,3,2018-12-10 00:00:00,2018-12-10 00:00:00
33,33,ಸಿಂಧಗಿ Sindgi,3,2018-12-10 00:00:00,2018-12-10 00:00:00
34,34,ಅಫಜಲಪೂರ Afzalpur,4,2018-12-10 00:00:00,2018-12-10 00:00:00
35,35,ಜೇವರ್ಗಿ Jevargi,4,2018-12-10 00:00:00,2018-12-10 00:00:00
36,40,ಚಿತ್ತಾಪೂರ Chittapur,4,2018-12-10 00:00:00,2018-12-10 00:00:00
37,41,ಸೇಡಂ Sedam,4,2018-12-10 00:00:00,2018-12-10 00:00:00
38,42,ಚಿಂಚೋಳಿ Chincholi,4,2018-12-10 00:00:00,2018-12-10 00:00:00
39,43,ಗುಲಬರ್ಗಾ ಗ್ರಾಮಾಂತರ Gulbarga Rural,4,2018-12-10 00:00:00,2018-12-10 00:00:00
40,44,ಗುಲಬರ್ಗಾ ದಕ್ಷಿಣ Gulbarga Dakshin,4,2018-12-10 00:00:00,2018-12-10 00:00:00
