did,distno,distname,created_at,updated_at
19,19,"KOLAR ಕೋಲಾರ
",2018-12-10 00:00:00,2018-12-10 00:00:00
20,20,"BANGALORE RURAL ಬೆಂಗಳೂರು ಗ್ರಾಮಾಂತರ
",2018-12-10 00:00:00,2018-12-10 00:00:00
21,21,"RAMANAGARAM ರಾಮನಗರಂ
",2018-12-10 00:00:00,2018-12-10 00:00:00
22,22,"MANDYA ಮಂಡ್ಯ
",2018-12-10 00:00:00,2018-12-10 00:00:00
23,23,"HASSAN ಹಾಸನ
",2018-12-10 00:00:00,2018-12-10 00:00:00
24,24,"DAKSHINA KANNADA ದಕ್ಷಿಣ ಕನ್ನಡ
",2018-12-10 00:00:00,2018-12-10 00:00:00
25,25,"KODAGU ಕೊಡಗು
",2018-12-10 00:00:00,2018-12-10 00:00:00
26,26,"MYSORE ಮೈಸೂರು
",2018-12-10 00:00:00,2018-12-10 00:00:00
27,27,"CHAMARAJNAGAR ಚಾಮರಾಜನಗರ
",2018-12-10 00:00:00,2018-12-10 00:00:00
28,28,"ಬೆಂಗಳೂರು / BANGALORE
",2018-12-10 00:00:00,2018-12-10 00:00:00
29,35,"YADGIR ಯಾದಗಿರಿ
",2018-12-10 00:00:00,2018-12-10 00:00:00
