partsid,ac no,ac name,parts name,acid,tname
1,8,Arabhavi,Govt. Higher Primary School North Wing Dandapur Govt. Higher Primary School Room No. 4 Naganur,8,Belgaum
2,8,Arabhavi,Govt. Higher Primary School South Wing Dandapur Govt. Higher Primary School Room No. 6 Naganur,8,Belgaum
3,8,Arabhavi,Govt. Higher Primary School New Building North Wing Rajapur    ,8,Belgaum
4,8,Arabhavi,Govt. Higher Primary School Room No. 8 Naganur,8,Belgaum
5,8,Arabhavi,Govt. Higher Primary School New Building West Side North Wing Rajapur    ,8,Belgaum
6,8,Arabhavi,Anganavadi Building No 435 Near Vetarnary Hospital Naganur,8,Belgaum
7,8,Arabhavi,Govt. Higher Primary School East Wing New Building Rajapur    ,8,Belgaum
8,8,Arabhavi,Anganavadi Building No 441 Near Vetarnary Hospital Naganur,8,Belgaum
9,8,Arabhavi,Govt. Higher Primary School Mavinmuri Tota Rajapur   ,8,Belgaum
10,8,Arabhavi,Govt. Higher Primary School East Wing Gurlapur,8,Belgaum
11,8,Arabhavi,Govt. Higher Primary School Ramapur Tota Rajapur     Govt. Higher Primary School West Wing Gurlapur,8,Belgaum
12,8,Arabhavi,Govt. Higher Primary School North Side West Wing Room No 1 Tukkanatti    ,8,Belgaum
13,8,Arabhavi,Govt. Higher Primary School South Wing Gurlapur,8,Belgaum
14,8,Arabhavi,Govt. Higher Primary School North Wing West Side Room No 2 Tukkanatti    ,8,Belgaum
15,8,Arabhavi,Govt.High School South Wing Room.No.1 Mudalgi,8,Belgaum
16,8,Arabhavi,Govt. Higher Primary School North Wing Right Side Room No 1 Tukkanatti    ,8,Belgaum
17,8,Arabhavi,Govt.High School South Wing Room.No.3 Mudalgi,8,Belgaum
18,8,Arabhavi,Govt. Higher Primary School South Wing New Room No 2 Tukkanatti    ,8,Belgaum
19,8,Arabhavi,Govt.High School Centre Wing Room.No.4 Mudalgi,8,Belgaum
20,8,Arabhavi,Govt. Higher Primary School South Wing New Room No 4 Tukkanatti    ,8,Belgaum
21,8,Arabhavi,Govt.High School North Wing Room.No.6 Mudalgi,8,Belgaum
22,8,Arabhavi,Akash Higher Primary School South Wing Room No 3 Tukkanatti    ,8,Belgaum
23,8,Arabhavi,"Govt,. Urdu Higher Primary School Rcc Building Mudalgi Akash Higher Primary School South Wing Room No 5 Tukkanatti  ",8,Belgaum
24,8,Arabhavi,"Govt,. Urdu Higher Primary School Old Building Mudalgi",8,Belgaum
25,8,Arabhavi,Gram Panchayat Office Tukkanatti   ,8,Belgaum
26,8,Arabhavi,Town Muncipal Council Guest House Building Mudalgi,8,Belgaum
27,8,Arabhavi,Community Learning Centre Tukkanatti    ,8,Belgaum
28,8,Arabhavi,Govt Kannada Girls School Room No.1 Mudalgi,8,Belgaum
29,8,Arabhavi,16 Gram Panchayat Office Old Building Naganur Govt Kannada Girls School Room No.4 Mudalgi,8,Belgaum
30,8,Arabhavi,17 Gram Panchayat Office New Building Naganur    Govt Kannada Girls School Room No.6 Mudalgi,8,Belgaum
31,8,Arabhavi,18 Govt Anganawadi Building East Wing Naganur Govt. Kannada Boys School East Wing Room No.1 Rcc Building Mudalgi,8,Belgaum
32,8,Arabhavi,Primary Agri. Produce Co­Op Bank Naganur    Govt. Kannada Boys School West Wing Room No.1 Rcc Building Mudalgi,8,Belgaum
33,8,Arabhavi,Govt. Higher Primary School Room No. 1 Naganur Govt. Higher Girls School East Wing Room No 7 Rcc Building Mudalgi,8,Belgaum
34,3,Athani,"  Nammura Govt.Higher Primary School, South Room,  Murgundi ",3,Chikkodi
35,3,Athani,"  Nammura Govt.Higher Primary School, North Room, Murgundi ",3,Chikkodi
36,3,Athani,"  Nammura Govt. Higher Primary School, North Side Room, Muragundi ",3,Chikkodi
37,3,Athani,"  Nammura Govt. Kannada Higher Primary  School, Masaraguppi ",3,Chikkodi
38,3,Athani,"  Nammura Govt. Kannada  Higher Primary School, Room No.2,  Masaraguppi ",3,Chikkodi
39,3,Athani,"  Govt. Higher Primary Kannada  School, North Room, Adahallatti ",3,Chikkodi
40,3,Athani,"  Govt. Higher  Kannada Primary  School, South Room No.1, Adahallatti ",3,Chikkodi
41,3,Athani,"  Govt. Higher  Kannada Primary  School, South Room No.2, Adahallatti ",3,Chikkodi
42,3,Athani,"  Govt. Higher  Primary Kannada  School,  South Room, Tanvshi Tot, Adahallatti ",3,Chikkodi
43,3,Athani,"  Govt.Kannada Higher Primary   School, New Building Room No. 1, Ramteerth ",3,Chikkodi
44,3,Athani,"  Govt.Kannada Higher Primary   School, New Building Room No. 4, Ramteerth ",3,Chikkodi
45,3,Athani,"  Nammura Govt.Kannada Lower  School, South Room, New Building,Siddeshwar Flower Farm,  Kottalagi ",3,Chikkodi
46,3,Athani,"  Nammura Govt.Kannada Lower  School, North Room,New Building, Siddeshwar Flower Farm, Kottalagi ",3,Chikkodi
47,3,Athani,"  Nammura Govt.Kannada Higher Primary School, East New Building, Middle Room,  Kottalagi ",3,Chikkodi
48,3,Athani,"  Nammura Govt.Kannada Higher Primary School, East New Building,Last Room,  Kottalagi ",3,Chikkodi
49,3,Athani,"  Nammura Govt.Kannada Higher Primary School,Eastern New Building, Western Room  Kottalagi ",3,Chikkodi
50,3,Athani,"  Govt. Higher Primary Kannada  School, Eastern Room,  Kakamari ",3,Chikkodi
51,3,Athani,"  Govt.Higher Primary Kannada School, Western Room,  Kakamari ",3,Chikkodi
52,3,Athani,"  Govt.Higher Primary Kannada  School, North Room, Kakamari ",3,Chikkodi
53,3,Athani,"  Govt.Higher Primary Kannada School, South Room, Kakamari ",3,Chikkodi
54,3,Athani,"  Govt.Higher Primary Kannada Boys School, Handar Khodi Tota, (Kakamari) ",3,Chikkodi
55,3,Athani,"  Govt. Higher Primary  School, Western Room, Bannur ",3,Chikkodi
56,3,Athani,"  Govt. Higher Primary School, East Room, Bannur ",3,Chikkodi
57,3,Athani,"  Govt. Higher  Primary Kannada School, Western Room, Kannal ",3,Chikkodi
58,3,Athani,"  Govt. Higher Primary Kannada School ,Eastern Room, Kannal ",3,Chikkodi
59,3,Athani,"  Govt. High School, Rom Bo.2, Kohalli ",3,Chikkodi
60,3,Athani,"  Govt. High School, Rom Bo.5, Kohalli ",3,Chikkodi
61,3,Athani,"  Nammura Govt. Higher Primary Kannada School, Room No 6, Kohalli ",3,Chikkodi
62,3,Athani,"  Govt. High School, Rom Bo.10, Kohalli ",3,Chikkodi
63,3,Athani,"  Nammura Govt. Higher Primary Kannada School, Room No 7, Kohalli ",3,Chikkodi
64,3,Athani,"  Nammura Govt. Higher Primary Kannada School, Room No 2, Kohalli ",3,Chikkodi
65,3,Athani,"  Nammura Govt. Lower Primary Kannada School, New Building Western Room, Keskar Daddi, Kohalli ",3,Chikkodi
66,3,Athani,"  Samanvaya Sampanmula Center I E R T Building Office, Telasang ",3,Chikkodi
67,3,Athani,"  Govt. Urdu Higher Primary School, Western Room, Telasang ",3,Chikkodi
68,3,Athani,"  Govt. Urdu Higher Primary School, Eastern Room, Telasang ",3,Chikkodi
69,3,Athani,"  Shree Basavaling Swamiji Pre.Primary School, Middle Room, Telasang ",3,Chikkodi
70,3,Athani,"  Govt.M.L.A. Higher Primary School, North Room No.2, Telasang ",3,Chikkodi
71,3,Athani,"  Govt.M.L.A. Higher Primary School, Middle Room, Telasang ",3,Chikkodi
72,3,Athani,"  Govt.M.L.A. Higher Primary School, South Room, Telasang ",3,Chikkodi
73,3,Athani,"  Govt. Lower Primary Kannada School, Telsang (Khilardaddi) ",3,Chikkodi
74,3,Athani,"  NammuraGovt. Kannada Higher Primary School, Madhawanand Nagar, Telsang Cross  (Telsang) ",3,Chikkodi
75,3,Athani,"  Nammura Govt.Kannada Lower Primary  School, Chavan Vasati, (Fhadatarawadi) Telsang ",3,Chikkodi
76,3,Athani,"  Nammura Govt.Kannada Higher Primary  School, Eastern Room, Adahalli ",3,Chikkodi
77,3,Athani,"  Nammura Govt.Kannada Higher Primary  School, Western Room, Adahalli ",3,Chikkodi
78,3,Athani,"  Nammura Govt.Kannada Higher Primary  School, Eastern Middle Room, Adahalli ",3,Chikkodi
79,3,Athani,"  Govt.Higher Primary Kannada School, South Room, Yakkanchi ",3,Chikkodi
80,3,Athani,"  Govt.Higher Primary Kannada School,New Building Northern  Room,Yakkanchi ",3,Chikkodi
81,3,Athani,"  Govt.Kannada Higher Primary  School, Northern Room, Yalihadalgi ",3,Chikkodi
82,3,Athani,"  Nammura Govt.Kannada Higher Primary  School, Western Room, New Building, Yalihadalgi ",3,Chikkodi
83,3,Athani,"  Govt. Marathi Higher Primary  School, South Room, Yalihadalgi ",3,Chikkodi
84,3,Athani,"  Govt. Marathi Lower Primary  School, Borade Vadi, Yalihadalgi ",3,Chikkodi
85,3,Athani,"  Shri. Appayya Swami Kannada Primary School, New Building, Aigali ",3,Chikkodi
