psid,ac no,ac name,ps name,acid,tname
1,8,Arabhavi,Dandapur ,8,Belgaum
2,8,Arabhavi,Naganur,8,Belgaum
3,8,Arabhavi,Rajapur   ,8,Belgaum
4,8,Arabhavi,Gurlapur,8,Belgaum
5,8,Arabhavi,Tukkanatti  ,8,Belgaum
6,8,Arabhavi,Mudalgi,8,Belgaum
7,3,Athani,Murgundi ,3,Chikkodi
8,3,Athani,Kohalli,3,Chikkodi
9,3,Athani,Masaraguppi,3,Chikkodi
10,3,Athani,Kohalli,3,Chikkodi
11,3,Athani,Adalatti ,3,Chikkodi
12,3,Athani,Ramateerth ,3,Chikkodi
13,3,Athani,Telasang,3,Chikkodi
14,3,Athani,Kottalagi,3,Chikkodi
15,3,Athani,Kakamari ,3,Chikkodi
16,3,Athani,Adahalli,3,Chikkodi
17,3,Athani,Bannur ,3,Chikkodi
18,3,Athani,Kannal,3,Chikkodi
19,3,Athani,Yakkanchi,3,Chikkodi
20,16,Bailhongal,Kutaranatti ,16,Belgaum
21,16,Bailhongal,Mutawad,16,Belgaum
22,16,Bailhongal,Hirebudanur,16,Belgaum
23,16,Bailhongal,Inchal,16,Belgaum
24,16,Bailhongal,Malagali,16,Belgaum
25,16,Bailhongal,Obaladinni ,16,Belgaum
26,16,Bailhongal,Chachadi ,16,Belgaum
27,16,Bailhongal,Marakumbi,16,Belgaum
28,16,Bailhongal,Muragod,16,Belgaum
29,16,Bailhongal,Tadasalur   ,16,Belgaum
30,16,Bailhongal,Hirekoppa,16,Belgaum
31,16,Bailhongal,Halaki   ,16,Belgaum
32,16,Bailhongal,Halaki Tanda   ,16,Belgaum
33,16,Bailhongal,Hulikeri Tanda  ,16,Belgaum
34,16,Bailhongal,Muragod,16,Belgaum
35,16,Bailhongal,Shivanagar,16,Belgaum
36,16,Bailhongal,Subbapur,16,Belgaum
37,16,Bailhongal,Gontamar,16,Belgaum
38,12,Belgaum Dakshin,Tilkwadi ,12,Belgaum
39,12,Belgaum Dakshin,Tilakwadi ,12,Belgaum
40,12,Belgaum Dakshin,Govaves ,12,Belgaum
41,12,Belgaum Dakshin,Godsewadi Belagavi   ,12,Belgaum
42,12,Belgaum Dakshin,Angol ,12,Belgaum
43,12,Belgaum Dakshin,R.C.Nagar ,12,Belgaum
44,12,Belgaum Dakshin,Majagaon,12,Belgaum
45,12,Belgaum Dakshin,Peeranwadi   ,12,Belgaum
46,12,Belgaum Dakshin,Khadarwadi,12,Belgaum
